Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/context/share?workspace_id=ws-e93a3e95,1,0,6.5264000004390255,6.5264000004390255,6.5264000004390255,6.5264000004390255,276.0,0.03385002476869071,0.0,7,7,7,7,7,7,7,7,7,7,7
POST,/context/share?workspace_id=ws-fc72b6ff,1,0,7.056000002194196,7.056000002194196,7.056000002194196,7.056000002194196,276.0,0.03385002476869071,0.0,7,7,7,7,7,7,7,7,7,7,7
POST,/context/share?workspace_id=ws-fe39d105,1,0,8.104199994704686,8.104199994704686,8.104199994704686,8.104199994704686,276.0,0.03385002476869071,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/member/,99,0,8,114.06198181808723,4.5190999953774735,1021.1910999933025,394.3131313131313,3.35115245210038,0.0,8,12,24,33,660,850,990,1000,1000,1000,1000
GET,/progress/?workspace_id=ws-06ec755c,1,0,6.20639999397099,6.20639999397099,6.20639999397099,6.20639999397099,98.0,0.03385002476869071,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/progress/?workspace_id=ws-07098149,4,0,6,9.224175002600532,5.220999999437481,18.940800000564195,85.5,0.13540009907476283,0.0,6,6,19,19,19,19,19,19,19,19,19
GET,/progress/?workspace_id=ws-10486249,1,0,70.609999995213,70.609999995213,70.609999995213,70.609999995213,96.0,0.03385002476869071,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/progress/?workspace_id=ws-1b3e66e2,2,0,5,9.80015000095591,4.852400001254864,14.747900000656955,82.0,0.06770004953738142,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/progress/?workspace_id=ws-2964316b,1,0,10.873999999603257,10.873999999603257,10.873999999603257,10.873999999603257,82.0,0.03385002476869071,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/progress/?workspace_id=ws-2b0a3ffd,1,0,566.1099999997532,566.1099999997532,566.1099999997532,566.1099999997532,96.0,0.03385002476869071,0.0,570,570,570,570,570,570,570,570,570,570,570
GET,/progress/?workspace_id=ws-2bdca799,1,0,5.817500001285225,5.817500001285225,5.817500001285225,5.817500001285225,96.0,0.03385002476869071,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/progress/?workspace_id=ws-39c6ea01,1,0,14.918199987732805,14.918199987732805,14.918199987732805,14.918199987732805,82.0,0.03385002476869071,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/progress/?workspace_id=ws-4597f80e,1,0,13.335299998288974,13.335299998288974,13.335299998288974,13.335299998288974,82.0,0.03385002476869071,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/progress/?workspace_id=ws-515d9d60,1,0,6.648599999607541,6.648599999607541,6.648599999607541,6.648599999607541,82.0,0.03385002476869071,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/progress/?workspace_id=ws-51f69d28,1,0,11.476100000436418,11.476100000436418,11.476100000436418,11.476100000436418,96.0,0.03385002476869071,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/progress/?workspace_id=ws-8c84b75d,1,0,644.8731999989832,644.8731999989832,644.8731999989832,644.8731999989832,96.0,0.03385002476869071,0.0,640,640,640,640,640,640,640,640,640,640,640
GET,/progress/?workspace_id=ws-9662e822,1,0,12.029299992718734,12.029299992718734,12.029299992718734,12.029299992718734,82.0,0.03385002476869071,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/progress/?workspace_id=ws-a30c1f5c,3,0,7,10.58743333366389,6.292699996265583,18.05210000020452,82.0,0.10155007430607213,0.0,7,7,18,18,18,18,18,18,18,18,18
GET,/progress/?workspace_id=ws-a3e42319,4,0,9,149.3205000006128,6.508200007374398,561.8740000063553,96.0,0.13540009907476283,0.0,20,20,560,560,560,560,560,560,560,560,560
